card,drawn,played,destroyed
Aniquilar,352474,308193,0
Archer,521219,455372,30034
Bat,523158,487770,35502
Berserker,522172,432447,18134
Bola de Fuego,351824,291354,0
Cazador de Bestias,522738,432474,21522
Curación,351708,328108,0
Curación Mayor,352241,292002,0
Descarga Electrica,352250,328403,0
Destierro,351408,276346,0
Dibujar Cartas,351872,308440,0
Dragon,523342,386115,3576
Eagle,522484,456519,32291
Goblin,521686,486449,33553
Golem,523322,386357,3203
Guardian,523861,433616,21752
Guardian del Bosque,522206,432398,22741
Hada Sanadora,522110,456296,33555
Knight,522746,432235,19813
Ladron de Almas,523136,411532,11274
Mage,522547,410840,9539
Necromancer,522449,410446,11272
Pacto de Sangre,351898,291922,0
Prision de Luz,352432,308333,0
Rafaga de Flechas,352395,292224,0
Rayo,351843,308111,0
Shaman,522335,432411,22672
Slingshot,522741,487727,35575
Token,0,0,61268
Tormenta de Fuego,351973,259806,0
Wall,522427,456753,33952
Wolf,522817,456855,29690
